Location Name,City,Address,Longitude & Latitude
Ambulance Station 240 - Burnaby Delesalle,Burnaby,5901 Delesalle St.,"49.21995571077569, -122.97691349196326"
Ambulance Station 258 - Burnaby North / Metro,Burnaby,925 Douglas Road,"49.2760273290748, -123.02291205912329"
Ambulance Station 206 - Chilliwack / Urban,Chilliwack,8530 Young Road,"49.157373927072065, -121.950683092931"
Ambulance Station 314 - Kamloops South / Urban,Kamloops,1257 Dalhousie Drive,"50.66636530318475, -120.36342974980427"
Ambulance Station 315 - Kamloops North / Urban,Kamloops,239 Clapperton Road,"50.68676498960552, -120.3534348026139"
Ambulance Station 370 - Kamloops DEDICATED CCT / Urban,Kamloops,C/O CC Helicopters 2985 Airport Road,"50.706650681167424, -120.43925365861543"
Ambulance Station 340 - Kelowna LAW / Urban,Kelowna,259 Lawrence Avenue,"49.88527996074116, -119.49774590263537"
Ambulance Station 341 - Kelowna MIL / Urban,Kelowna,101- 1515 Keehn Road,"49.890448249572415, -119.415483392718"
Ambulance Station 380 - Kelowna DEDICATED CCT AIREVAC / Urban,Kelowna,Hangar 3 - 6095 Airport Way,"49.951054330248894, -119.38107701273539"
Ambulance Station 252 - Langley / Metro,Langley,22347 48th Avenue,"49.08957597745046, -122.60482310715118"
Ambulance Station 267 - Langley North / Metro,Langley,20089 92A Avenue,"49.17111160123273, -122.6655229058726"
Ambulance Station 120 - Nanaimo South / Urban,Nanaimo,231 Prideaux Street,"49.165634614915504, -123.94485258590036"
Ambulance Station 122 - Nanaimo North / Urban,Nanaimo,4415 Boban Drive,"49.20945340692288, -124.03975401303407"
Ambulance Station 256 - Vancouver North / Metro,Vancouver,254 13th St. E.,"49.32024682434318, -123.06682388595638"
Ambulance Station 250 - Richmond North / Metro,Richmond,3780 Sexsmith Road,"49.18487440375501, -123.12779284716376"
Ambulance Station 269 - Richmond South / Metro,Richmond,3999 Williams Road,"49.141288796335935, -123.1817013936975"
Ambulance Station 270 - Airport Bike Squad YVR / Metro,Richmond,3052-3211 Grant McConachie Way,"49.19537932000211, -123.17886967349801"
Ambulance Station 280 - Vancouver/DEDICATED CCT AIREVAC / Metro,Richmond,201-4360 Agar Drive,"49.18339361468262, -123.17579171579489"
Ambulance Station 121 - Victoria - Royal Oak / Metro - Satellite location to Central Depot,Saanich,121 - 4528 Viewmont Avenue,"48.49590938105273, -123.38854697565783"
Ambulance Station 123 - Victoria - Douglas / Metro - CENTRALIZED VICTORIA DEPOT **serving 6 satellite ambulations,Saanich,3381 Tennyson Ave,"48.4516398011672, -123.37776410291544"
Ambulance Station 249 - Surrey (96th Ave) / Metro,Surrey,13700 96th Avenue,"49.17649451580829, -122.84375846889063"
Ambulance Station 253 - Surrey CLO / Metro,Surrey,5833 176th Street,"49.10854157052823, -122.7352747566541"
Ambulance Station 254 - Surrey WHI / Metro,Surrey,2359 156th Street,"49.04478964032421, -122.79047996292226"
Ambulance Station 242 - Vancouver RIC / Metro,Vancouver,1317 Richards Street,"49.27475954178868, -123.12637154134647"
Ambulance Station 243 - Vancouver ARB/Metro,Vancouver,2940 Arbutus Street,"49.25981584064546, -123.15287909420262"
Ambulance Station 244 - Vancouver (Cambie St) / Metro,Vancouver,559 West 59th,"49.21720743543505, -123.11915832249777"
Ambulance Station 245 - Vancouver (Victoria Dr.) / Metro,Vancouver,1538 East King Edward,"49.248359224744775, -123.0729802998138"
Ambulance Station 248 - Vancouver COR / Metro,Vancouver,731 East Cordova Street,"49.2824643428967, -123.0885278396738"
Ambulance Station 261- Vancouver (West 7th) / Metro,Vancouver,181 West 7th Avenue,"49.2650449178903, -123.10891750857346"
Ambulance Station 262 - Vancouver UBC / Metro,Vancouver,2333 Wesbrook Mall,"49.26326150755489, -123.24360647523457"
Ambulance Station 283 - S15 - Vancouver - Infant Transport Team / Metro,Vancouver,4480 Oak Street,"49.24489360163044, -123.12344919499164"
Ambulance Station 112 - Victoria / Metro - Satellite location to Central Depot,Victoria,315 - 1420 Hillside Avenue,"48.44239272877961, -123.34234692434632"
Ambulance Station 118 - Victoria - James Bay / Metro - Satellite location to Central Depot,Victoria,c/o Best Western Hotel 103 - 412 Quebec Street,"48.420974002280914, -123.37402754913862"
Ambulance Station 125 - Victoria - Shelbourne / Metro - Satellite location to Central Depot,Victoria,3987 Shelbourne Street,"48.4714997955046, -123.33231111647684"
Ambulance Station 140 - Douglas CRS,Victoria,3300 Douglas Street,"48.44954727725817, -123.37400004904426"
Ambulance Station 339 - West Kelowna / Urban,Kelowna,2577 Lower Glenrosa Road,"49.829883455590085, -119.63486075067102"
Ambulance Station 255 - Vancouver WES / Metro,Vancouver,1542 Fulton Avenue,"49.331432173522714, -123.15791888570683"